instrument,feature_name,horizon,sample_count,pearson_r,raw_p_value,fdr_adjusted_p_value,is_fdr_significant,train_ic,val_ic,oos_ic,oos_net_expectancy,classification
XAUUSD,mom_accel,1H,499,-0.0274,0.59294,0.92008,False,0.0324,-0.1874,-0.1003,-9e-05,B = Promising but insufficient evidence
GBPUSD,activity_vol_burst,1H,499,-0.0433,0.4062,0.86204,False,-0.0322,-0.0482,-0.0997,-0.00026,B = Promising but insufficient evidence
XAUUSD,vol_ratio,1H,499,0.0093,0.85448,0.99174,False,0.0975,-0.1452,-0.0996,-9e-05,B = Promising but insufficient evidence
XAUUSD,trend_dev_mean,1H,499,0.0465,0.37424,0.84513,False,0.0299,0.0389,0.0989,-9e-05,B = Promising but insufficient evidence
XAUUSD,time_day_of_week,30M,499,-0.0486,0.35481,0.8385,False,-0.0208,-0.1035,-0.0978,-0.00017,B = Promising but insufficient evidence
GBPUSD,time_hour,1H,499,-0.0015,0.97562,0.99898,False,-0.0258,-0.0147,0.0973,-0.00026,B = Promising but insufficient evidence
XAUUSD,time_hour,5M,499,0.0201,0.69398,0.95665,False,0.0349,-0.0994,0.0972,-0.00026,B = Promising but insufficient evidence
EURUSD,struct_range_pos,1M,499,-0.0448,0.39151,0.85818,False,-0.0742,-0.0844,0.0969,-0.0003,B = Promising but insufficient evidence
NAS100,vol_atr_14,4H,499,0.1149,0.05087,0.58713,False,0.1391,0.0901,0.0966,9e-05,A = Robust predictive edge
XAUUSD,mom_accel,4H,499,-0.0115,0.82086,0.99174,False,0.0531,-0.2315,-0.0965,0.00011,B = Promising but insufficient evidence
EURUSD,mom_ret_15,15M,499,-0.018,0.7229,0.96745,False,-0.0565,0.0666,0.0964,-0.00028,B = Promising but insufficient evidence
GBPUSD,time_hour,15M,499,-0.0168,0.74142,0.97505,False,-0.0301,-0.0648,0.0957,-0.00028,B = Promising but insufficient evidence
GBPUSD,trend_ma_slope,1M,499,-0.1449,0.01957,0.5292,False,-0.2265,0.0797,0.0951,-0.00029,B = Promising but insufficient evidence
XAUUSD,mom_ret_15,4H,499,0.064,0.23371,0.76735,False,0.0651,-0.0245,0.0933,9e-05,A = Robust predictive edge
